SSU_originalchainIDbeforeConvertedByChimeraXDuringCombine,yMRC,5MRC,head
1,AA,11,0
2,AB,22,0
3,AC,33,0
4,AD,44,0
5,AE,55,0
6,AF,66,0
A,g,AA,0
B,h,BB,1
C,i,CC,1
D,j,DD,0
E,k,EE,1
F,l,FF,0
G,m,GG,1
H,n,HH,0
I,o,II,1
J,p,JJ,1
K,q,KK,0
L,r,LL,0
M,s,MM,1
N,t,NN,1
O,u,OO,0
P,v,PP,0
Q,w,QQ,0
R,x,RR,0
S,y,SS,1
T,z,TT,0
U,AG,UU,0
V,AH,VV,0
W,AI,WW,1
X,AJ,XX,1
Y,AK,YY,1
Z,Z,ZZ,0
a,AL,aa,0
b,AM,bb,0
,0,0,0
,1,1,0
,2,2,0
,3,3,0
,4,4,0
,5,5,0
,6,6,0
,7,7,0
,8,8,0
,9,9,0
,A,A,0
,B,B,0
,C,C,0
,D,D,0
,E,E,0
,F,F,0
,G,G,0
,H,H,0
,I,I,0
,J,J,0
,K,K,0
,L,L,0
,M,M,0
,N,N,0
,O,O,0
,P,P,0
,Q,Q,0
,R,R,0
,S,S,0
,T,T,0
,U,U,0
,V,V,0
,W,W,0
,X,X,0
,Y,Y,0
,a,a,0
,b,b,0
,c,c,0
,d,d,0
,e,notexist1,0
,f,notexist2,0
,notexist1,77,1
,notexist2,88,0
,notexist3,cc,1
,notexist4,Z,0
